citation_key,title,authors,year,venue,volume_pages,doi,official_url,ccf_rank,recent_2024_2026,supports_section,verification_status
tong2026tokenizermia,"Membership Inference Attacks on Tokenizers of Large Language Models","Meng Tong; Yuntao Du; Kejiang Chen; Weiming Zhang; Ninghui Li",2026,"USENIX Security 2026","accepted paper; pages pending","10.48550/arXiv.2510.05699","https://www.usenix.org/conference/usenixsecurity26/cycle1-accepted-papers",A,yes,"attack motivation; five attacks; comparison boundary","verified on USENIX accepted-paper page and arXiv"
hayase2024mixture,"Data Mixture Inference Attack: BPE Tokenizers Reveal Training Data Compositions","Jonathan Hayase; Alisa Liu; Yejin Choi; Sewoong Oh; Noah A. Smith",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-0285","https://proceedings.neurips.cc/paper_files/paper/2024/hash/10e6dfea9a673bef4a7b1cb9234891bc-Abstract-Conference.html",A,yes,"tokenizer leakage; related work","verified on NeurIPS proceedings"
maini2024dataset,"LLM Dataset Inference: Did you train on my dataset?","Pratyush Maini; Hengrui Jia; Nicolas Papernot; Adam Dziedzic",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-3941","https://proceedings.neurips.cc/paper_files/paper/2024/hash/e01519b47118e2f51aa643151350c905-Abstract-Conference.html",A,yes,"set-level inference; distribution-shift caveat","verified on NeurIPS proceedings"
fu2024spvmia,"Membership Inference Attacks against Fine-tuned Large Language Models via Self-prompt Calibration","Wenjie Fu; Huandong Wang; Chen Gao; Guanghua Liu; Yong Li; Tao Jiang",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-4290","https://proceedings.neurips.cc/paper_files/paper/2024/hash/f36ad694188bb4c4bbbd61e2038e069e-Abstract-Conference.html",A,yes,"LLM membership inference; calibration","verified on NeurIPS proceedings"
kazmi2024panoramia,"PANORAMIA: Privacy Auditing of Machine Learning Models without Retraining","Mishaal Kazmi; Hadrien Lautraite; Alireza Akbari; Qiaoyue Tang; Mauricio Soroco; Tao Wang; Sebastien Gambs; Mathias Lecuyer",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-1825","https://proceedings.neurips.cc/paper_files/paper/2024/hash/692ae28fda9bfbde7c01b13bf5a03395-Abstract-Conference.html",A,yes,"privacy audit methodology","verified on NeurIPS proceedings"
zhai2024clid,"Membership Inference on Text-to-Image Diffusion Models via Conditional Likelihood Discrepancy","Shengfang Zhai; Huanran Chen; Yinpeng Dong; Jiajun Li; Qingni Shen; Yansong Gao; Hang Su; Yang Liu",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-2358","https://proceedings.neurips.cc/paper_files/paper/2024/hash/874411a224a1934b80d499068384808b-Abstract-Conference.html",A,yes,"membership inference metrics and generality","verified on NeurIPS proceedings"
wen2024privacybackdoors,"Privacy Backdoors: Enhancing Membership Inference through Poisoning Pre-trained Models","Yuxin Wen; Leo Marchyok; Sanghyun Hong; Jonas Geiping; Tom Goldstein; Nicholas Carlini",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-2652","https://proceedings.neurips.cc/paper_files/paper/2024/hash/97d008f7873b8dd55cb6dd343fc4386f-Abstract-Conference.html",A,yes,"threat boundaries; active adversaries","verified on NeurIPS proceedings"
peng2024oslo,"OSLO: One-Shot Label-Only Membership Inference Attacks","Yuefeng Peng; Jaechul Roh; Subhransu Maji; Amir Houmansadr",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-1991","https://proceedings.neurips.cc/paper_files/paper/2024/hash/71f88122d414cfeb455ac0ed932fbe1f-Abstract-Conference.html",A,yes,"low-FPR metrics; attack evaluation","verified on NeurIPS proceedings"
zhang2024doppler,"DOPPLER: Differentially Private Optimizers with Low-pass Filter for Privacy Noise Reduction","Xinwei Zhang; Zhiqi Bu; Mingyi Hong; Meisam Razaviyayn",2024,"NeurIPS 2024","Advances in Neural Information Processing Systems 37","10.52202/079017-1323","https://proceedings.neurips.cc/paper_files/paper/2024/hash/49c466ccc038f39b08b1980a2b06673c-Abstract-Conference.html",A,yes,"privacy-utility trade-off","verified on NeurIPS proceedings"
zhang2025soft,"SOFT: Selective Data Obfuscation for Protecting LLM Fine-tuning against Membership Inference Attacks","Kaiyuan Zhang; Siyuan Cheng; Hanxi Guo; Yuetian Chen; Zian Su; Shengwei An; Yuntao Du; Charles Fleming; Ashish Kundu; Xiangyu Zhang; Ninghui Li",2025,"USENIX Security 2025","pp. 8135-8154","","https://www.usenix.org/conference/usenixsecurity25/presentation/zhang-kaiyuan",A,yes,"MIA defense comparison","verified on USENIX proceedings"
