attack,vocab_size,auc_mean,auc_sample_std
compression_rate,4000,0.5159810384114584,0.015254365915722781
compression_rate,8000,0.5306345621744791,0.020916924440166833
compression_rate,16000,0.5520273844401041,0.019465941276028367
compression_rate,32000,0.5803120930989584,0.01420511584148193
vocabulary_overlap,4000,0.5615030924479166,0.006080322704712135
vocabulary_overlap,8000,0.5544840494791666,0.02185775774110065
vocabulary_overlap,16000,0.585357666015625,0.03351006216620691
vocabulary_overlap,32000,0.652587890625,0.04705539651042373
frequency_estimation,4000,0.532867431640625,0.03538956887809324
frequency_estimation,8000,0.5813140869140625,0.022906147582972058
frequency_estimation,16000,0.6990203857421875,0.039085420946937365
frequency_estimation,32000,0.8704376220703125,0.029831892617625182
merge_similarity,4000,0.5147603352864584,0.028231119967931727
merge_similarity,8000,0.5223490397135416,0.02179684414513887
merge_similarity,16000,0.5288187662760416,0.019357843304715634
merge_similarity,32000,0.5339813232421875,0.020903533020220445
naive_bayes,4000,0.5361378987630209,0.01241623271000062
naive_bayes,8000,0.5455576578776041,0.012028662560233773
naive_bayes,16000,0.5755055745442709,0.020818638710438174
naive_bayes,32000,0.7032267252604166,0.03130903603242764
