attack,epsilon_total,auc_mean,auc_sample_std
compression_rate,0.5,0.4488118489583333,0.045047970034596166
compression_rate,1.0,0.4488118489583333,0.045047970034596166
compression_rate,2.0,0.4506022135416667,0.04482912079733435
compression_rate,4.0,0.4464518229166667,0.048413974422292436
compression_rate,8.0,0.443115234375,0.05024613357016857
compression_rate,16.0,0.4520670572916667,0.04243858874595299
vocabulary_overlap,0.5,0.4986979166666667,0.015131467503094355
vocabulary_overlap,1.0,0.4986979166666667,0.015131467503094355
vocabulary_overlap,2.0,0.4891764322916667,0.005601063413922449
vocabulary_overlap,4.0,0.498046875,0.016068830734281576
vocabulary_overlap,8.0,0.5008951822916666,0.014819020870741231
vocabulary_overlap,16.0,0.5077311197916666,0.009406017279465566
frequency_estimation,0.5,0.4809977213541667,0.030449223578523844
frequency_estimation,1.0,0.4809977213541667,0.030449223578523844
frequency_estimation,2.0,0.5082194010416666,0.03677626900124753
frequency_estimation,4.0,0.481201171875,0.025538964869702644
frequency_estimation,8.0,0.4659830729166667,0.03647152344204635
frequency_estimation,16.0,0.4811604817708333,0.02296782476590093
merge_similarity,0.5,0.5142415364583334,0.021390304380976527
merge_similarity,1.0,0.5142415364583334,0.021390304380976527
merge_similarity,2.0,0.5020345052083334,0.007018069877067183
merge_similarity,4.0,0.5198567708333334,0.015038613316817384
merge_similarity,8.0,0.5021158854166666,0.004933412944735572
merge_similarity,16.0,0.516357421875,0.007858143036831583
naive_bayes,0.5,0.4753011067708333,0.05177225355302077
naive_bayes,1.0,0.4753011067708333,0.05177225355302077
naive_bayes,2.0,0.4778238932291667,0.04780114041022798
naive_bayes,4.0,0.4661865234375,0.05491983922709794
naive_bayes,8.0,0.4598388671875,0.0552166812511363
naive_bayes,16.0,0.46923828125,0.055799353303887675
