method_id,seed,accuracy,macro_f1,best_validation_epoch,training_elapsed_seconds,source
plain_bpe,20260726,0.8868421052631579,0.8870607932934109,3,2905.54619620007,results/final/downstream/development/plain_bpe/20260726/result.json
plain_bpe,20260727,0.8889473684210526,0.8889951807801947,7,4532.974306200049,results/final/downstream/development/plain_bpe/20260727/result.json
plain_bpe,20260728,0.8847368421052632,0.8847973883207845,3,3136.2909791999264,results/final/downstream/development/plain_bpe/20260728/result.json
local_dp_eps16p0_C75_b32_K1024,20260726,0.8857894736842106,0.8853670734906322,4,3189.7827090999344,results/final/downstream/development/local_dp_eps16p0_C75_b32_K1024/20260726/result.json
local_dp_eps16p0_C75_b32_K1024,20260727,0.8843421052631579,0.884289455272594,4,1370.034592299955,results/final/downstream/development/local_dp_eps16p0_C75_b32_K1024/20260727/result.json
local_dp_eps16p0_C75_b32_K1024,20260728,0.8867105263157895,0.8867831255302699,3,1142.0876568999374,results/final/downstream/development/local_dp_eps16p0_C75_b32_K1024/20260728/result.json
local_dp_eps4p0_C75_b32_K1024,20260726,0.8856578947368421,0.8855062074235428,3,1143.4221213000128,results/final/downstream/development/local_dp_eps4p0_C75_b32_K1024/20260726/result.json
local_dp_eps4p0_C75_b32_K1024,20260727,0.8827631578947368,0.8827559250994703,6,1825.6187912999885,results/final/downstream/development/local_dp_eps4p0_C75_b32_K1024/20260727/result.json
local_dp_eps4p0_C75_b32_K1024,20260728,0.886578947368421,0.8868362847102527,4,1369.7798029000405,results/final/downstream/development/local_dp_eps4p0_C75_b32_K1024/20260728/result.json
local_dp_eps4p0_C90_b32_K1024,20260726,0.8875,0.8873702635693498,3,1142.8069788999856,results/final/downstream/development/local_dp_eps4p0_C90_b32_K1024/20260726/result.json
local_dp_eps4p0_C90_b32_K1024,20260727,0.8857894736842106,0.8854022371746608,5,1715.0093839999754,results/final/downstream/development/local_dp_eps4p0_C90_b32_K1024/20260727/result.json
local_dp_eps4p0_C90_b32_K1024,20260728,0.8810526315789474,0.8810478911615957,6,5086.042859299923,results/final/downstream/development/local_dp_eps4p0_C90_b32_K1024/20260728/result.json
sa_dp_eps8p0_C75_b32_K1024,20260726,0.8905263157894737,0.8903446798826411,3,3431.1728580000345,results/final/downstream/development/sa_dp_eps8p0_C75_b32_K1024/20260726/result.json
sa_dp_eps8p0_C75_b32_K1024,20260727,0.8867105263157895,0.8863229328195863,5,1700.7856919001788,results/final/downstream/development/sa_dp_eps8p0_C75_b32_K1024/20260727/result.json
sa_dp_eps8p0_C75_b32_K1024,20260728,0.8827631578947368,0.8829531534048386,3,1216.6451578999404,results/final/downstream/development/sa_dp_eps8p0_C75_b32_K1024/20260728/result.json
sa_dp_eps4p0_C50_b32_K1024,20260726,0.891578947368421,0.8912580095256444,4,1458.2414154999424,results/final/downstream/development/sa_dp_eps4p0_C50_b32_K1024/20260726/result.json
sa_dp_eps4p0_C50_b32_K1024,20260727,0.8853947368421052,0.8850673757529275,5,1701.9154908999335,results/final/downstream/development/sa_dp_eps4p0_C50_b32_K1024/20260727/result.json
sa_dp_eps4p0_C50_b32_K1024,20260728,0.8873684210526316,0.8875833749480324,4,1458.890850200085,results/final/downstream/development/sa_dp_eps4p0_C50_b32_K1024/20260728/result.json
