method_id,mode,epsilon_total,clipping_percentile,batch_merge_size,candidate_pool_size,seed,source_corpus,bytes_per_token,mean_tokens_per_document,actual_vocab_size,tokenizer_training_seconds,source
private_plain_reference,plain,,75,32,1024,20260726,ag_news_test,3.293898564205524,71.43486842105263,4000,59.14782680000644,results/final/defenses/development/utility/private_plain_reference/20260726/utility.json
private_plain_reference,plain,,75,32,1024,20260726,c4_heldout,3.5127077640510014,639.2135493372607,4000,59.14782680000644,results/final/defenses/development/utility/private_plain_reference/20260726/utility.json
private_plain_reference,plain,,75,32,1024,20260727,ag_news_test,3.2473510360694915,72.45881578947369,4000,56.17691100004595,results/final/defenses/development/utility/private_plain_reference/20260727/utility.json
private_plain_reference,plain,,75,32,1024,20260727,c4_heldout,3.5158847845394705,577.8203256597417,4000,56.17691100004595,results/final/defenses/development/utility/private_plain_reference/20260727/utility.json
private_plain_reference,plain,,75,32,1024,20260728,ag_news_test,3.2535664577401366,72.3203947368421,4000,57.83770789997652,results/final/defenses/development/utility/private_plain_reference/20260728/utility.json
private_plain_reference,plain,,75,32,1024,20260728,c4_heldout,3.566231298777443,588.7559300873908,4000,57.83770789997652,results/final/defenses/development/utility/private_plain_reference/20260728/utility.json
he_only_reference,he_only,,75,32,1024,20260726,ag_news_test,3.293898564205524,71.43486842105263,4000,53.72018920001574,results/final/defenses/development/utility/he_only_reference/20260726/utility.json
he_only_reference,he_only,,75,32,1024,20260726,c4_heldout,3.5127077640510014,639.2135493372607,4000,53.72018920001574,results/final/defenses/development/utility/he_only_reference/20260726/utility.json
he_only_reference,he_only,,75,32,1024,20260727,ag_news_test,3.2473510360694915,72.45881578947369,4000,51.83000840002205,results/final/defenses/development/utility/he_only_reference/20260727/utility.json
he_only_reference,he_only,,75,32,1024,20260727,c4_heldout,3.5158847845394705,577.8203256597417,4000,51.83000840002205,results/final/defenses/development/utility/he_only_reference/20260727/utility.json
he_only_reference,he_only,,75,32,1024,20260728,ag_news_test,3.2535664577401366,72.3203947368421,4000,51.34955030004494,results/final/defenses/development/utility/he_only_reference/20260728/utility.json
he_only_reference,he_only,,75,32,1024,20260728,c4_heldout,3.566231298777443,588.7559300873908,4000,51.34955030004494,results/final/defenses/development/utility/he_only_reference/20260728/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260726,ag_news_test,3.062359470710828,76.83592105263158,4000,56.49001969990786,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260726/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260726,c4_heldout,3.218458878589508,697.6539027982327,4000,56.49001969990786,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260726/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260727,ag_news_test,2.9583577343907677,79.5371052631579,4000,54.21747360005975,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260727/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260727,c4_heldout,3.1775970969283085,639.3352049410444,4000,54.21747360005975,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260727/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260728,ag_news_test,2.896426506340226,81.23776315789473,4000,52.80895590002183,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260728/utility.json
sa_dp_eps0p5_C75_b32_K1024,sa_dp,0.5,75,32,1024,20260728,c4_heldout,3.1256195720655002,671.7515605493134,4000,52.80895590002183,results/final/defenses/development/utility/sa_dp_eps0p5_C75_b32_K1024/20260728/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260726,ag_news_test,3.062359470710828,76.83592105263158,4000,56.92023359995801,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260726,c4_heldout,3.218458878589508,697.6539027982327,4000,56.92023359995801,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260727,ag_news_test,2.9583577343907677,79.5371052631579,4000,55.048444999963976,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260727/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260727,c4_heldout,3.1775970969283085,639.3352049410444,4000,55.048444999963976,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260727/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260728,ag_news_test,2.896426506340226,81.23776315789473,4000,54.64248839998618,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260728/utility.json
sa_dp_eps1p0_C75_b32_K1024,sa_dp,1.0,75,32,1024,20260728,c4_heldout,3.1256195720655002,671.7515605493134,4000,54.64248839998618,results/final/defenses/development/utility/sa_dp_eps1p0_C75_b32_K1024/20260728/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260726,ag_news_test,3.062359470710828,76.83592105263158,4000,56.56269249995239,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260726,c4_heldout,3.218458878589508,697.6539027982327,4000,56.56269249995239,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260727,ag_news_test,2.9583577343907677,79.5371052631579,4000,54.41052400006447,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260727/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260727,c4_heldout,3.1775970969283085,639.3352049410444,4000,54.41052400006447,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260727/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260728,ag_news_test,2.96506796393385,79.35710526315789,4000,54.279790400061756,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260728/utility.json
sa_dp_eps2p0_C75_b32_K1024,sa_dp,2.0,75,32,1024,20260728,c4_heldout,3.206761075243394,654.7540574282148,4000,54.279790400061756,results/final/defenses/development/utility/sa_dp_eps2p0_C75_b32_K1024/20260728/utility.json
sa_dp_eps4p0_C75_b32_K1024,sa_dp,4.0,75,32,1024,20260726,ag_news_test,3.062359470710828,76.83592105263158,4000,57.173002700088546,results/final/defenses/development/utility/sa_dp_eps4p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps4p0_C75_b32_K1024,sa_dp,4.0,75,32,1024,20260726,c4_heldout,3.218458878589508,697.6539027982327,4000,57.173002700088546,results/final/defenses/development/utility/sa_dp_eps4p0_C75_b32_K1024/20260726/utility.json
sa_dp_eps4p0_C75_b32_K1024,sa_dp,4.0,75,32,1024,20260727,ag_news_test,2.928437849008774,80.34973684210526,4000,52.902174600050785,results/final/defenses/development/utility/sa_dp_eps4p0_C75_b32_K1024/20260727/utility.json
sa_dp_eps4p0_C75_b32_K1024,sa_dp,4.0,75,32,1024,20260727,c4_heldout,3.1143075032105463,652.3279056709714,4000,52.902174600050785,results/final/defenses/development/utility/sa_dp_eps4p0_C75_b32_K1024/20260727/utility.json
