method_id,baseline_method_id,seed,attack,candidate_minus_plain_auc,bootstrap_mean_difference,ci95_lower,ci95_upper,bootstrap_iterations,resampling_unit
min_count_2,plain_bpe,20260726,compression_rate,0.0,0.0,0.0,0.0,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260726,vocabulary_overlap,-0.00634765625,-0.006344703674316407,-0.0113983154296875,-0.0019374847412109396,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260726,frequency_estimation,-0.0074920654296875,-0.007456581115722657,-0.018036651611328124,0.0015262603759765604,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260726,merge_similarity,-0.0005645751953125,-0.0005605621337890625,-0.0028842926025390626,0.0019683837890625,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260726,naive_bayes,-0.0182342529296875,-0.018514053344726562,-0.033768844604492185,-0.006240081787109379,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260727,compression_rate,-6.103515625e-05,-6.12945556640625e-05,-0.000244140625,0.0,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260727,vocabulary_overlap,-0.0070953369140625,-0.007130340576171875,-0.014556884765625,-0.0019222259521484396,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260727,frequency_estimation,-0.00565338134765625,-0.005423149108886719,-0.015259933471679688,0.00382251739501953,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260727,merge_similarity,-0.0009613037109375,-0.0009348983764648438,-0.00433349609375,0.0025180816650390604,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260727,naive_bayes,-0.0274505615234375,-0.02743286895751953,-0.0449310302734375,-0.012266540527343758,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260728,compression_rate,0.0,0.0,0.0,0.0,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260728,vocabulary_overlap,-0.0109100341796875,-0.010954704284667969,-0.021317672729492188,-0.0028060913085937583,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260728,frequency_estimation,7.62939453125e-05,7.877349853515624e-05,-0.00018310546875,0.0003509521484375,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260728,merge_similarity,0.0026092529296875,0.00260272216796875,0.00025863647460937504,0.0049896240234375,2000,website; paired and stratified by membership
min_count_2,plain_bpe,20260728,naive_bayes,-0.0284881591796875,-0.028605545043945312,-0.045929336547851564,-0.013454055786132835,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260726,compression_rate,0.0,0.0,0.0,0.0,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260726,vocabulary_overlap,-0.007659912109375,-0.007571037292480469,-0.013733291625976562,-0.0017852783203125,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260726,frequency_estimation,-0.0140228271484375,-0.014042549133300782,-0.028595352172851564,-0.0012199401855468792,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260726,merge_similarity,-0.0015716552734375,-0.0015801620483398438,-0.005615234375,0.0026859283447265604,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260726,naive_bayes,-0.03338623046875,-0.03393628692626953,-0.05536079406738281,-0.01641807556152344,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260727,compression_rate,-9.1552734375e-05,-9.152984619140625e-05,-0.00030517578125,0.0,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260727,vocabulary_overlap,-0.009307861328125,-0.00938848876953125,-0.016754150390625,-0.00335693359375,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260727,frequency_estimation,-0.00864410400390625,-0.00850320053100586,-0.020340538024902342,0.0014574050903320302,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260727,merge_similarity,-0.0022735595703125,-0.0023786087036132813,-0.007706069946289062,0.0030376434326171813,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260727,naive_bayes,-0.0511627197265625,-0.05097055816650391,-0.0746307373046875,-0.03008995056152344,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260728,compression_rate,0.0,0.0,0.0,0.0,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260728,vocabulary_overlap,-0.0144195556640625,-0.014528846740722657,-0.025651168823242188,-0.005797195434570319,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260728,frequency_estimation,0.0001678466796875,0.0001646881103515625,-0.0003509521484375,0.00067138671875,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260728,merge_similarity,0.00482177734375,0.004814537048339844,0.00103759765625,0.00859146118164062,2000,website; paired and stratified by membership
min_count_5,plain_bpe,20260728,naive_bayes,-0.0457611083984375,-0.045736770629882816,-0.067822265625,-0.02612266540527344,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260726,compression_rate,0.0,0.0,0.0,0.0,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260726,vocabulary_overlap,-0.00994873046875,-0.009867462158203125,-0.017275238037109376,-0.0037532806396484396,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260726,frequency_estimation,-0.01728057861328125,-0.01745371627807617,-0.032948875427246095,-0.00360088348388672,2000,website; paired and stratified by membership
min_count_10,plain_bpe,20260726,merge_similarity,-0.0022735595703125,-0.0021765670776367186,-0.0074005126953125,0.0028995513916015604,2000,website; paired and stratified by membership
